userid_DI_encoded,course_id_encoded,interaction_order,incomplete_flag,registered,viewed,nchapters,nplay_video
0,4,1,1,1,0,3.63442342142082,114.84417345649427
0,5,2,1,1,0,3.63442342142082,114.84417345649427
1,5,1,1,1,0,3.63442342142082,114.84417345649427
2,1,1,1,1,1,7.0,114.84417345649427
2,2,2,1,1,1,23.0,114.84417345649427
3,2,1,1,1,1,1.0,114.84417345649427
4,0,1,1,1,1,2.0,114.84417345649427
5,11,1,1,1,1,3.0,4.0
6,12,1,1,1,1,3.63442342142082,114.84417345649427
7,1,1,1,1,1,12.0,114.84417345649427
7,4,2,1,1,0,3.63442342142082,114.84417345649427
7,12,3,1,1,1,1.0,17.0
8,10,1,1,1,0,3.63442342142082,114.84417345649427
9,1,1,1,1,0,3.63442342142082,114.84417345649427
10,14,1,1,1,1,2.0,69.0
11,1,1,1,1,0,3.63442342142082,114.84417345649427
12,0,1,1,1,0,3.63442342142082,114.84417345649427
13,1,1,1,1,1,2.0,114.84417345649427
13,11,2,1,1,1,5.0,160.0
14,14,1,1,1,1,11.0,206.0
15,12,1,1,1,1,3.0,15.0
16,0,1,1,1,1,4.0,114.84417345649427
17,1,1,1,1,0,3.63442342142082,114.84417345649427
18,0,1,1,1,1,2.0,114.84417345649427
18,2,2,1,1,1,4.0,114.84417345649427
19,5,1,1,1,1,6.0,105.0
19,2,2,1,1,1,9.0,114.84417345649427
19,13,3,1,1,1,2.0,1.0
20,12,1,1,1,1,3.63442342142082,114.84417345649427
21,11,1,1,1,0,3.63442342142082,114.84417345649427
22,3,1,1,1,0,3.63442342142082,114.84417345649427
22,7,2,1,1,1,1.0,3.0
23,0,1,1,1,1,25.0,114.84417345649427
24,1,1,1,1,1,2.0,114.84417345649427
25,0,1,1,1,0,3.63442342142082,114.84417345649427
26,1,1,1,1,1,2.0,114.84417345649427
27,4,1,1,1,0,3.63442342142082,114.84417345649427
28,6,1,1,1,1,7.0,17.0
29,1,1,1,1,1,1.0,114.84417345649427
29,12,2,1,1,1,2.0,19.0
